Ticker,Country,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
EMR,1,0,0,0,0,0,0,0,1,0,0,0
ENPH,1,0,0,0,0,0,0,0,0,0,1,0
EOG,1,0,0,0,0,1,0,0,0,0,0,0
EPAM,1,0,0,0,0,0,0,0,0,0,1,0
EQIX,1,0,0,0,0,0,0,0,0,1,0,0
EQR,1,0,0,0,0,0,0,0,0,1,0,0
EQT,1,0,0,0,0,1,0,0,0,0,0,0
ERIE,1,0,0,0,0,0,1,0,0,0,0,0
ES,1,0,0,0,0,0,0,0,0,0,0,1
ESS,1,0,0,0,0,0,0,0,0,1,0,0
ETN,1,0,0,0,0,0,0,0,1,0,0,0
ETR,1,0,0,0,0,0,0,0,0,0,0,1
EVRG,1,0,0,0,0,0,0,0,0,0,0,1
EW,1,0,0,0,0,0,0,1,0,0,0,0
EXC,1,0,0,0,0,0,0,0,0,0,0,1
EXPD,1,0,0,0,0,0,0,0,1,0,0,0
EXPE,1,0,0,1,0,0,0,0,0,0,0,0
EXR,1,0,0,0,0,0,0,0,0,1,0,0
F,1,0,0,1,0,0,0,0,0,0,0,0
FANG,1,0,0,0,0,1,0,0,0,0,0,0
FAST,1,0,0,0,0,0,0,0,1,0,0,0
FCX,1,1,0,0,0,0,0,0,0,0,0,0
FDS,1,0,0,0,0,0,1,0,0,0,0,0
FDX,1,0,0,0,0,0,0,0,1,0,0,0
FE,1,0,0,0,0,0,0,0,0,0,0,1
FFIV,1,0,0,0,0,0,0,0,0,0,1,0
FI,1,0,0,0,0,0,0,0,0,0,1,0
FICO,1,0,0,0,0,0,0,0,0,0,1,0
FIS,1,0,0,0,0,0,0,0,0,0,1,0
FITB,1,0,0,0,0,0,1,0,0,0,0,0
FRT,1,0,0,0,0,0,0,0,0,1,0,0
FSLR,1,0,0,0,0,0,0,0,0,0,1,0
FTNT,1,0,0,0,0,0,0,0,0,0,1,0
GD,1,0,0,0,0,0,0,0,1,0,0,0
GE,1,0,0,0,0,0,0,0,1,0,0,0
GEN,1,0,0,0,0,0,0,0,0,0,1,0
GILD,1,0,0,0,0,0,0,1,0,0,0,0
GIS,1,0,0,0,1,0,0,0,0,0,0,0
GL,1,0,0,0,0,0,1,0,0,0,0,0
